Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
KAR,117.1,84,71,86,74,621
IRMD,117.09,84,60,76,68,622
INTR,117.05,84,86,49,7,623
CME,117.04,84,91,87,52,624
WDH,117.01,84,80,62,37,625
ZVRA,116.82,84,66,83,86,626
TT,116.76,84,84,51,76,627
USFD,116.76,84,77,66,75,628
LWAY,116.75,84,86,86,90,629
SENS,116.64,84,89,97,4,630
GB,116.55,84,92,94,63,631
WMB,116.47,84,89,87,81,632
PHX,116.46,84,68,72,65,633
BAM,116.37,84,83,64,85,634
IH,116.37,84,93,91,24,635
BFC,116.36,84,89,76,68,636
CELH,116.34,84,78,15,5,637
TENX,116.33,84,86,93,71,638
CCEC,116.31,84,80,79,50,639
EME,116.25,84,71,39,87,640
ITRN,116.24,84,88,91,63,641
HQY,116.2,84,64,74,75,642
IDR,116.19,84,94,57,70,643
FER,116.19,84,87,69,51,644
AXS,116.18,84,90,86,80,645
BKSY,116.16,84,33,61,77,646
DOCS,116.12,84,96,96,93,647
LNG,116.08,84,87,84,71,648
SKIL,116.07,83,92,96,54,649
ASND,116.05,83,89,65,45,650
INVZ,115.84,83,20,38,12,651
YRD,115.81,83,88,93,69,652
AL,115.73,83,83,45,59,653
META,115.72,83,69,77,77,654
CCL,115.68,83,60,58,87,655
GENI,115.67,83,95,90,88,656
IZEA,115.57,83,21,50,43,657
RLMD,115.54,83,4,1,0,658
NVDA,115.54,83,62,40,90,659
UNM,115.53,83,90,91,87,660
UAL,115.51,83,78,90,96,661
FSI,115.45,83,79,97,92,662
LOPE,115.41,83,86,79,62,663
AG,115.39,83,71,50,59,664
LSEA,115.38,83,13,11,22,665
HDB,115.36,83,85,46,51,666
MGYR,115.36,83,79,81,73,667
SHOP,115.29,83,81,82,90,668
CAE,115.25,83,89,87,67,669
HMST,115.21,83,74,18,37,670
PINC,115.18,83,84,40,50,671
EPR,115.17,83,82,89,41,672
IVA,115.16,83,91,78,17,673
TD,115.15,83,81,72,20,674
COUR,115.11,83,75,26,18,675
CIVB,115.11,83,89,78,86,676
BABA,115.08,83,94,97,61,677
RSI,115.06,83,70,65,95,678
NTR,115.05,83,81,63,31,679
BMI,115.04,83,76,73,73,680
LYV,115.0,83,83,81,84,681
UPWK,114.99,83,81,72,90,682
ENIC,114.95,83,92,89,33,683
EVRI,114.93,83,84,90,72,684
NOK,114.81,83,85,90,61,685
TBPH,114.81,83,73,67,53,686
TASK,114.8,83,55,47,74,687
HURN,114.77,83,92,92,63,688
SIBN,114.75,83,72,71,17,689
RDCM,114.74,82,69,72,67,690
VIV,114.72,82,75,43,18,691
CUK,114.7,82,60,60,88,692
PSMT,114.7,82,83,62,62,693
MAMA,114.64,82,43,21,89,694
BWFG,114.63,82,87,65,65,695
KRKR,114.58,82,62,29,2,696
CGAU,114.53,82,82,38,30,697
BOX,114.53,82,64,68,51,698
EQX,114.5,82,85,83,50,699
NRDY,114.46,82,68,62,54,700
CHKP,114.37,82,86,91,50,701
RELY,114.35,82,83,84,78,702
NGG,114.27,82,81,57,28,703
MQ,114.25,82,35,32,7,704
BLX,114.23,82,88,89,72,705
CBNK,114.21,82,88,82,78,706
WINA,114.2,82,59,33,57,707
GANX,114.17,82,56,63,16,708
PAAS,114.11,82,81,88,80,709
AAMI,114.08,82,86,43,81,710
SANM,114.02,82,72,68,73,711
MKTW,113.98,82,57,49,2,712
GSHD,113.91,82,86,93,91,713
AFRM,113.86,82,89,71,93,714
ABEO,113.85,82,73,34,44,715
SLNG,113.83,82,88,64,77,716
SLGL,113.82,82,90,38,5,717
MCB,113.81,82,86,68,86,718
NOW,113.8,82,75,38,84,719
KMI,113.78,82,86,87,85,720
BK,113.77,82,84,90,81,721
AVAL,113.74,82,86,91,38,722
BAP,113.64,82,81,61,66,723
YMM,113.59,82,91,95,91,724
IPX,113.59,82,84,54,96,725
DRVN,113.53,82,90,77,72,726
NPKI,113.53,82,78,22,44,727
GRAB,113.5,82,87,66,89,728
VLGEA,113.49,81,87,84,46,729
TSAT,113.49,81,93,96,92,730
NTNX,113.47,81,84,64,58,731
CSGS,113.46,81,88,90,56,732
INUV,113.45,81,85,81,67,733
CRGO,113.42,81,42,68,32,734
CM,113.39,81,81,53,76,735
INLX,113.34,81,90,85,94,736
BRTX,113.34,81,70,77,39,737
GPOR,113.33,81,82,58,63,738
BVN,113.32,81,76,46,34,739
CRDF,113.32,81,26,95,42,740
OSS,113.3,81,43,72,55,741
RSG,113.29,81,88,84,54,742
MD,113.29,81,90,93,89,743
OMEX,113.27,81,94,2,0,744
ENLT,113.23,81,65,65,27,745
LANV,113.22,81,89,59,25,746
RIVN,113.19,81,80,35,38,747
FOXA,113.16,81,84,94,80,748
