Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
PRMB, 12.66B,  14.50$,8.08%,1.11%,2023-11-01,4.76%,244.95%,2023-11-28,26,-1.03%
SHOP,135.56B,  59.70$,15.52%,9.73%,2023-11-01,3.45%,275.50%,2024-01-01,60,23.67%
SPGI,155.80B, 375.92$,4.86%,1.66%,2023-11-01,2.90%,156.44%,2024-01-02,61,14.35%
TRGP, 44.71B,  90.25$,6.07%,16.32%,2023-11-01,7.59%,166.49%,2023-11-06,4,-5.24%
TYL, 24.97B, 405.75$,6.99%,9.04%,2023-11-01,4.50%,163.86%,2023-11-27,25,0.35%
NBIX, 11.43B, 128.45$,8.49%,22.59%,2023-12-21,4.33%,207.00%,2024-02-06,47,6.10%
MMYT, 11.83B,  55.39$,14.93%,53.26%,2024-01-30,3.20%,274.47%,2024-02-22,23,2.51%
NMR, 19.37B,   5.74$,17.35%,41.98%,2024-01-30,2.79%,158.18%,2024-03-31,61,6.79%
CYBR, 17.11B, 281.31$,19.21%,60.76%,2024-02-08,5.43%,321.95%,2024-02-15,7,-7.42%
WES, 15.78B,  30.81$,7.31%,12.33%,2024-02-19,5.65%,312.03%,2024-04-11,52,12.11%
APG, 10.37B,  37.36$,7.77%,30.28%,2024-02-29,5.59%,362.10%,2024-04-11,42,3.21%
GRMN, 41.84B, 145.99$,10.14%,28.19%,2024-03-10,2.99%,212.12%,2024-04-01,22,-0.17%
NBIX, 11.43B, 143.74$,5.38%,23.72%,2024-03-20,2.57%,201.87%,2024-03-26,6,-4.11%
THC, 12.67B, 112.29$,12.59%,43.56%,2024-04-29,6.49%,245.01%,2024-06-20,52,19.56%
GEN, 16.89B,  23.46$,14.33%,13.39%,2024-05-09,4.22%,231.86%,2024-06-06,28,5.37%
MTD, 24.72B,1510.25$,20.56%,27.91%,2024-05-09,7.98%,209.51%,2024-05-29,20,-8.39%
BBY, 15.82B,  81.55$,11.08%,10.63%,2024-05-29,4.41%,364.79%,2024-06-24,26,6.09%
KKR,109.85B, 108.95$,5.05%,32.07%,2024-06-09,3.53%,428.20%,2024-06-25,16,-2.91%
RBA, 18.53B,  79.12$,5.87%,15.90%,2024-06-09,3.73%,571.37%,2024-06-27,18,-3.49%
SF, 10.49B,  84.15$,5.49%,18.32%,2024-06-27,3.72%,198.96%,2024-07-21,24,-2.54%
ACM, 12.53B,  96.91$,8.41%,8.51%,2024-08-07,4.54%,167.16%,2024-09-03,27,-0.50%
SN, 12.61B,  85.36$,15.39%,42.72%,2024-08-07,6.01%,524.69%,2024-10-15,69,23.15%
TKO, 12.72B, 116.92$,8.06%,27.72%,2024-08-07,3.88%,155.45%,2024-09-04,28,-0.62%
CHWY, 13.64B,  28.72$,14.57%,41.43%,2024-08-27,8.60%,240.82%,2024-09-04,8,-8.91%
BX,179.07B, 169.73$,9.85%,29.97%,2024-10-16,3.17%,179.66%,2024-12-08,52,9.20%
CG, 16.69B,  51.34$,12.90%,19.21%,2024-10-16,3.37%,262.95%,2024-11-03,17,-4.44%
SNA, 17.69B, 327.79$,13.03%,17.55%,2024-10-16,6.80%,214.25%,2024-12-04,48,10.24%
AEG, 10.86B,   6.66$,4.87%,8.04%,2024-11-05,2.55%,175.41%,2024-11-12,7,-4.80%
DFS, 41.85B, 182.55$,22.28%,41.38%,2024-11-05,3.05%,498.95%,2024-12-03,28,-3.34%
FHN, 10.07B,  20.10$,17.50%,30.18%,2024-11-05,4.98%,244.14%,2024-12-08,33,0.05%
FITB, 26.70B,  46.87$,6.84%,21.96%,2024-11-05,3.03%,168.89%,2024-12-03,28,-0.02%
GS,178.07B, 595.98$,14.13%,31.23%,2024-11-05,4.81%,277.50%,2024-12-08,33,-0.31%
HBAN, 22.28B,  17.52$,12.80%,26.55%,2024-11-05,4.45%,155.61%,2024-12-03,28,0.46%
HOOD, 40.43B,  29.86$,12.68%,50.74%,2024-11-05,7.13%,235.83%,2024-12-09,34,25.12%
JEF, 12.53B,  72.06$,10.68%,42.05%,2024-11-05,3.22%,193.05%,2024-12-17,42,5.13%
LYV, 29.35B, 125.99$,8.48%,28.13%,2024-11-05,2.97%,268.26%,2024-12-08,33,6.35%
NSC, 53.23B, 277.00$,9.70%,14.55%,2024-11-05,3.84%,170.77%,2024-11-18,13,-6.24%
PH, 83.38B, 709.46$,11.37%,27.39%,2024-11-05,3.76%,198.76%,2024-12-03,28,-1.83%
RF, 20.13B,  26.31$,10.70%,27.45%,2024-11-05,4.90%,168.08%,2024-12-02,27,0.11%
ROK, 30.41B, 294.00$,8.62%,8.29%,2024-11-05,3.74%,191.95%,2024-11-07,2,-7.44%
SF, 10.49B, 116.92$,14.78%,40.35%,2024-11-05,6.45%,158.51%,2024-12-02,27,-2.71%
SRE, 46.16B,  88.26$,5.21%,15.48%,2024-11-05,7.66%,185.40%,2024-12-03,28,3.67%
STLD, 19.24B, 154.32$,16.24%,20.10%,2024-11-05,3.77%,214.34%,2024-11-12,7,-8.05%
SYF, 21.40B,  67.51$,21.73%,47.25%,2024-11-05,4.34%,203.62%,2024-12-17,42,-5.81%
TFC, 54.81B,  47.00$,8.68%,18.69%,2024-11-05,4.26%,337.28%,2024-12-02,27,-1.21%
APP,112.19B, 291.09$,45.76%,204.36%,2024-11-14,3.64%,434.84%,2024-12-08,24,17.68%
HPE, 21.11B,  23.95$,10.46%,25.62%,2024-12-05,5.30%,164.53%,2024-12-09,4,-8.48%
LULU, 41.14B, 399.60$,22.88%,24.97%,2024-12-05,5.66%,390.85%,2024-12-17,12,-6.89%
GGAL, 11.37B,  67.76$,16.34%,78.50%,2024-12-15,6.29%,169.09%,2024-12-17,2,-6.54%
AVERAGE,,,,,,,,,22.34,2.2033% (42.7791%)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
