Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
WES, 15.78B,  30.81$,  7.31%, 12.33%,2024-02-19, 5.65%,312.03%,2024-03-07,17,10.3862%
APG, 10.37B,  37.36$,  7.77%, 30.28%,2024-02-29, 5.59%,362.10%,2024-03-13,13,1.3383%
AGI, 10.90B,  13.76$, 13.08%, 10.52%,2024-03-10, 2.62%,115.23%,2024-03-17,7,-2.7616%
GRMN, 41.84B, 145.99$, 10.14%, 28.19%,2024-03-10, 2.99%,212.12%,2024-03-24,14,0.4726%
FDX, 58.18B, 264.85$,  5.96%,  5.09%,2024-03-20, 2.00%,127.47%,2024-04-01,12,3.9419%
GS,178.07B, 413.71$,  5.89%, 18.87%,2024-03-20, 3.37%,103.58%,2024-04-03,14,-1.8032%
NBIX, 11.43B, 143.74$,  5.38%, 23.72%,2024-03-20, 2.57%,201.87%,2024-03-24,4,-2.4280%
AXP,195.51B, 231.04$,  3.49%, 28.12%,2024-04-18, 5.28%,139.11%,2024-04-30,12,0.1818%
THC, 12.67B, 112.29$, 12.59%, 43.56%,2024-04-29, 6.49%,245.01%,2024-05-22,23,14.8633%
GEN, 16.89B,  23.46$, 14.33%, 13.39%,2024-05-09, 4.22%,231.86%,2024-05-27,18,5.7545%
MTD, 24.72B,1510.25$, 20.56%, 27.91%,2024-05-09, 7.98%,209.51%,2024-05-22,13,-2.0493%
BBY, 15.82B,  81.55$, 11.08%, 10.63%,2024-05-29, 4.41%,364.79%,2024-06-11,13,5.9227%
KKR,109.85B, 108.95$,  5.05%, 32.07%,2024-06-09, 3.53%,428.20%,2024-06-23,14,-1.3584%
RBA, 18.53B,  79.12$,  5.87%, 15.90%,2024-06-09, 3.73%,571.37%,2024-06-19,10,-1.1754%
CNA, 13.54B,  46.07$,  3.11%,  7.51%,2024-06-27, 2.17%,851.31%,2024-07-04,7,-2.8652%
DFS, 41.85B, 130.81$,  5.18%, 19.95%,2024-06-27, 4.42%,111.24%,2024-07-07,10,-1.4907%
SAIA, 10.01B, 474.29$,  6.33%,  3.21%,2024-06-27, 2.35%,154.78%,2024-07-04,7,-2.1211%
SF, 10.49B,  84.15$,  5.49%, 18.32%,2024-06-27, 3.72%,198.96%,2024-07-07,10,-3.4819%
SYF, 21.40B,  47.19$,  7.82%, 24.69%,2024-06-27, 4.28%,108.50%,2024-07-23,26,5.7004%
RVTY, 12.90B, 125.59$, 15.37%, 21.42%,2024-07-28, 3.30%,146.17%,2024-08-05,8,-4.4271%
ACM, 12.53B,  96.91$,  8.41%,  8.51%,2024-08-07, 4.54%,167.16%,2024-09-02,26,0.7223%
SN, 12.61B,  85.36$, 15.39%, 42.72%,2024-08-07, 6.01%,524.69%,2024-08-22,15,5.2601%
TKO, 12.72B, 116.92$,  8.06%, 27.72%,2024-08-07, 3.88%,155.45%,2024-08-21,14,0.7184%
PANW,122.63B, 171.68$,  5.93%, 12.60%,2024-08-18, 2.14%,139.17%,2024-09-02,15,3.4104%
CHWY, 13.64B,  28.72$, 14.57%, 41.43%,2024-08-27, 8.60%,240.82%,2024-09-03,7,-5.4666%
SUI, 17.28B, 141.22$,  6.32%, 12.02%,2024-09-05, 2.74%,125.05%,2024-09-19,14,-0.3824%
LVS, 28.74B,  51.12$, 23.54%, 10.16%,2024-09-26, 2.19%,158.14%,2024-10-14,18,-0.3325%
APD, 65.43B, 312.69$,  8.36%, 20.72%,2024-10-06, 2.14%,173.12%,2024-10-23,17,3.0094%
BX,179.07B, 169.73$,  9.85%, 29.97%,2024-10-16, 3.17%,179.66%,2024-10-30,14,-1.1666%
CG, 16.69B,  51.34$, 12.90%, 19.21%,2024-10-16, 3.37%,262.95%,2024-10-22,6,-4.0709%
SNA, 17.69B, 327.79$, 13.03%, 17.55%,2024-10-16, 6.80%,214.25%,2024-11-18,32,8.2217%
TRV, 59.36B, 264.82$, 11.57%, 21.54%,2024-10-16, 4.46%,129.72%,2024-10-24,8,-5.4074%
AEG, 10.86B,   6.66$,  4.87%,  8.04%,2024-11-05, 2.55%,175.41%,2024-11-11,6,-3.4535%
AIZ, 10.79B, 206.37$,  6.38%, 14.78%,2024-11-05, 4.62%,106.26%,2024-12-03,28,8.7270%
APO, 82.53B, 163.67$, 13.83%, 40.07%,2024-11-05, 2.08%,191.29%,2024-11-19,14,-0.4766%
CFG, 18.34B,  48.31$, 14.10%, 30.06%,2024-11-05, 6.69%,117.60%,2024-11-18,13,-4.6781%
CRBG, 18.26B,  33.37$,  6.81%, 19.01%,2024-11-05, 4.11%,116.30%,2024-11-07,2,-7.6416%
DFS, 41.85B, 182.55$, 22.28%, 41.38%,2024-11-05, 3.05%,498.95%,2024-11-17,12,-5.1109%
EQH, 16.65B,  50.40$, 11.64%, 27.90%,2024-11-05, 5.75%,115.90%,2024-11-14,9,-5.8730%
FHN, 10.07B,  20.10$, 17.50%, 30.18%,2024-11-05, 4.98%,244.14%,2024-11-19,14,-1.1443%
FITB, 26.70B,  46.87$,  6.84%, 21.96%,2024-11-05, 3.03%,168.89%,2024-11-18,13,-0.9174%
GFL, 18.97B,  43.60$,  5.74%, 17.29%,2024-11-05, 3.56%,131.71%,2024-11-13,8,-0.4587%
GGAL, 11.37B,  54.94$,  8.24%, 66.49%,2024-11-05, 4.82%,136.10%,2024-11-21,16,0.9829%
GS,178.07B, 595.98$, 14.13%, 31.23%,2024-11-05, 4.81%,277.50%,2024-11-18,13,-2.4497%
HBAN, 22.28B,  17.52$, 12.80%, 26.55%,2024-11-05, 4.45%,155.61%,2024-11-18,13,0.1142%
HLI, 11.71B, 188.30$, 10.89%, 33.86%,2024-11-05, 4.55%,111.68%,2024-11-17,12,-2.1933%
HOOD, 40.43B,  29.86$, 12.68%, 50.74%,2024-11-05, 7.13%,235.83%,2024-12-09,34,25.1172%
HWM, 55.35B, 114.86$, 11.31%, 41.38%,2024-11-05, 3.32%,118.00%,2024-12-08,33,-0.9664%
INCY, 11.86B,  80.95$, 17.36%, 32.57%,2024-11-05, 3.09%,138.46%,2024-11-13,8,-3.9778%
IWN, 11.36B, 178.67$,  6.99%, 13.38%,2024-11-05, 2.00%,143.79%,2024-11-14,9,-3.4421%
JEF, 12.53B,  72.06$, 10.68%, 42.05%,2024-11-05, 3.22%,193.05%,2024-12-03,28,7.3272%
KEY, 18.12B,  19.97$, 15.13%, 30.48%,2024-11-05, 7.41%,104.99%,2024-11-18,13,-4.8573%
LYV, 29.35B, 125.99$,  8.48%, 28.13%,2024-11-05, 2.97%,268.26%,2024-12-02,27,9.0166%
NSC, 53.23B, 277.00$,  9.70%, 14.55%,2024-11-05, 3.84%,170.77%,2024-11-14,9,-5.6823%
PCTY, 10.85B, 213.79$, 21.26%, 33.97%,2024-11-05, 4.92%,102.35%,2024-11-13,8,-3.8776%
PFGC, 12.17B,  87.62$,  6.92%, 20.81%,2024-11-05, 2.07%,215.88%,2024-11-14,9,-5.0445%
PH, 83.38B, 709.46$, 11.37%, 27.39%,2024-11-05, 3.76%,198.76%,2024-11-17,12,-2.5061%
PNC, 70.02B, 204.97$,  8.86%, 24.43%,2024-11-05, 2.38%,119.73%,2024-11-18,13,-0.0537%
RF, 20.13B,  26.31$, 10.70%, 27.45%,2024-11-05, 4.90%,168.08%,2024-12-01,26,0.8362%
ROK, 30.41B, 294.00$,  8.62%,  8.29%,2024-11-05, 3.74%,191.95%,2024-11-18,13,-5.3946%
SF, 10.49B, 116.92$, 14.78%, 40.35%,2024-11-05, 6.45%,158.51%,2024-11-18,13,-3.2159%
SRE, 46.16B,  88.26$,  5.21%, 15.48%,2024-11-05, 7.66%,185.40%,2024-12-01,26,4.3508%
STLD, 19.24B, 154.32$, 16.24%, 20.10%,2024-11-05, 3.77%,214.34%,2024-11-13,8,-10.6986%
SYF, 21.40B,  67.51$, 21.73%, 47.25%,2024-11-05, 4.34%,203.62%,2024-11-17,12,-5.1252%
TFC, 54.81B,  47.00$,  8.68%, 18.69%,2024-11-05, 4.26%,337.28%,2024-11-19,14,-1.7447%
URI, 41.73B, 880.32$,  6.98%, 25.08%,2024-11-05, 2.06%,213.53%,2024-11-14,9,-5.0345%
APP,112.19B, 291.09$, 45.76%,204.36%,2024-11-14, 3.64%,434.84%,2024-12-08,24,17.6750%
SYK,140.35B, 390.08$,  5.69%, 12.27%,2024-11-14, 2.07%,138.15%,2024-11-21,7,-1.3407%
HPE, 21.11B,  23.95$, 10.46%, 25.62%,2024-12-05, 5.30%,164.53%,2024-12-11,6,-8.8518%
LULU, 41.14B, 399.60$, 22.88%, 24.97%,2024-12-05, 5.66%,390.85%,2024-12-17,12,-6.8894%
GGAL, 11.37B,  67.76$, 16.34%, 78.50%,2024-12-15, 6.29%,169.09%,2024-12-18,3,-9.5337%
AVERAGE,,,,,,,,,15.83,0.9930% (25.5872%)
