Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
NTNX, 19.69B,  26.35$, 20.61%, 19.64%,2022-10-13, 5.05%,370.50%,2022-11-02,20,2.5047%
LMT,104.81B, 431.84$,  6.38%,  2.90%,2022-10-17, 6.64%,267.85%,2022-11-10,23,7.4148%
GILD,136.83B,  79.27$, 18.84%, 25.79%,2022-10-27, 6.19%,279.50%,2022-12-14,47,9.2217%
SMCI, 22.41B,   8.08$, 30.66%, 62.35%,2022-11-01, 7.22%,520.34%,2022-12-01,29,7.2489%
UTHR, 14.06B, 253.65$, 15.22%, 22.13%,2022-11-01, 6.95%,320.16%,2022-11-10,8,0.7096%
AXON, 44.82B, 171.84$, 25.37%, 44.45%,2022-11-08, 5.73%,298.64%,2022-11-27,19,7.0414%
SFM, 14.85B,  32.16$, 13.28%, 12.55%,2022-11-08, 3.92%,226.50%,2022-11-20,12,1.4614%
FICO, 46.87B, 581.78$, 31.82%, 32.24%,2022-11-09, 9.63%,340.06%,2022-11-21,12,-0.6669%
TPG, 19.17B,  40.68$, 33.23%, 40.95%,2022-11-09, 9.81%,213.59%,2022-11-13,4,-5.3097%
TPG, 19.17B,  41.78$, 34.22%, 44.53%,2022-11-10, 3.23%,341.01%,2022-11-13,3,-7.8028%
QSR, 30.52B,  66.51$, 11.86%, 19.18%,2022-11-16, 4.57%,323.74%,2022-11-28,12,-2.2854%
DKS, 16.91B, 117.76$,  7.40%, 17.27%,2022-11-21, 8.64%,289.37%,2022-12-04,13,-2.1484%
EIX, 22.25B,  66.66$,  9.51%,  2.57%,2022-11-29, 4.91%,217.87%,2022-12-15,16,-2.3402%
ERIE, 21.73B, 282.39$,  6.82%, 39.74%,2022-11-29, 4.29%,422.03%,2022-12-04,5,-3.7076%
SNY,137.77B,  48.55$,  8.86%,  1.82%,2022-12-05, 7.09%,274.40%,2022-12-15,10,-3.2338%
MRNA, 13.09B, 197.54$, 10.37%, 30.84%,2022-12-12, 5.17%,437.20%,2022-12-15,3,-2.1515%
UHS, 12.01B, 135.77$,  4.89%, 15.45%,2022-12-15, 3.07%,233.23%,2023-01-10,26,6.5626%
AVERAGE,,,,,,,,,13.03,-0.2010% (-5.4793%)
